Unnamed: 0,Name,Sys ID,company,company_clean,domain_clean,phone_clean,address_clean,combined_id,merged_ids,record_id,is_merged,merged_from,canonical_company
175,42Gears Mobility Systems,C47302,42Gears Mobility Systems,42gears mobility systems,,,,42gears mobility systems;;,C47302,C47302,False,[],42gears mobility systems
176,42Support,C47620,42Support,42support,,,,42support;;,C47620,C47620,False,[],42support
177,432 Tech LLC,C39511,432 Tech LLC,432 tech,,,,432 tech;;,C39511,C39511,False,[],432 tech
178,43minus1 LLC,C24777,43minus1 LLC,43minus1,,,,43minus1;;,C24777,C24777,False,[],43minus1
179,43Tc,C35773,43Tc,43tc,,,,43tc;;,C35773,C35773,False,[],43tc
180,451 Research,C45070,451 Research,451 research,,,,451 research;;,C45070,C45070,False,[],451 research
181,46Solutions,C39276,46Solutions,46solutions,,,,46solutions;;,C39276,C39276,False,[],46solutions
182,48 Technologies,C39512,48 Technologies,48 technologies,,,,48 technologies;;,C39512,C39512,False,[],48 technologies
183,499 Enterprises,C23678,499 Enterprises,499 enterprises,,,,499 enterprises;;,C23678,C23678,False,[],499 enterprises
184,4BCloud Solutions,C42319,4BCloud Solutions,4bcloud solutions,,,,4bcloud solutions;;,C42319,C42319,False,[],4bcloud solutions
185,4BIS.COM INC,C39065,4BIS.COM INC,4bis.com,,,,4bis.com;;,C39065,C39065,False,[],4bis.com
186,4C Technologies Inc,C35392,4C Technologies Inc,4c technologies,,,,4c technologies;;,C35392,C35392,False,[],4c technologies
187,4CIT,C21529,4CIT,4cit,,,,4cit;;,C21529,C21529,False,[],4cit
188,4Cube Solutions,C34029,4Cube Solutions,4cube solutions,,,,4cube solutions;;,C34029,C34029,False,[],4cube solutions
189,"4in6.net, LLC",C51706,"4in6.net, LLC",4in6.net,,,,4in6.net;;,C51706,C51706,False,[],4in6.net
190,4IP B.V,C45455,4IP B.V,4ip b.v,,,,4ip b.v;;,C45455,C45455,False,[],4ip b.v
191,4ip Technology,C23570,4ip Technology,4ip technology,,,,4ip technology;;,C23570,C23570,False,[],4ip technology
192,4IT,C27742,4IT,4it,,,,4it;;,C27742,C27742,False,[],4it
193,4K Solutions,C31864,4K Solutions,4k solutions,,,,4k solutions;;,C31864,C31864,False,[],4k solutions
194,4Leet,C39513,4Leet,4leet,,,,4leet;;,C39513,C39513,False,[],4leet
195,"4n2n Solutions, LLC",C26067,"4n2n Solutions, LLC",4n2n solutions,,,,4n2n solutions;;,C26067;C47621,C26067,False,[],4n2n solutions
197,"4P IT Services, LLC",C33995,"4P IT Services, LLC",4p it services,,,,4p it services;;,C33995,C33995,False,[],4p it services
198,4P Managed Solutions,C34126,4P Managed Solutions,4p managed solutions,,,,4p managed solutions;;,C34126,C34126,False,[],4p managed solutions
199,"4PC-Help, DBA The Computer Hospital",C23855,"4PC-Help, DBA The Computer Hospital",4pc-help the computer hospital,,,,4pc-help the computer hospital;;,C23855,C23855,False,[],4pc-help the computer hospital
200,4QuartersIT Group. Inc,C39514,4QuartersIT Group. Inc,4quartersit group,,,,4quartersit group;;,C39514,C39514,False,[],4quartersit group
201,"4Tech Solutions, LLC",D00007,"4Tech Solutions, LLC",4tech solutions,,,,4tech solutions;;,D00007,D00007,False,[],4tech solutions
202,"4TEKGear, LLC",C21530,"4TEKGear, LLC",4tekgear,,,,4tekgear;;,C21530,C21530,False,[],4tekgear
203,4th and Bailey,C40525,4th and Bailey,4th and bailey,,,,4th and bailey;;,C40525,C40525,False,[],4th and bailey
204,4TressCyber Holdings LLC.,C51634,4TressCyber Holdings LLC.,4tresscyber holdings,,,,4tresscyber holdings;;,C51634,C51634,False,[],4tresscyber holdings
205,4xBolt LLC,C43967,4xBolt LLC,4xbolt,,,,4xbolt;;,C43967,C43967,False,[],4xbolt
206,5 Computer Guys,C36718,5 Computer Guys,5 computer guys,,,,5 computer guys;;,C36718,C36718,False,[],5 computer guys
207,5 Factor Technology,C42363,5 Factor Technology,5 factor technology,,,,5 factor technology;;,C42363,C42363,False,[],5 factor technology
208,5 Fold Technologies,C36130,5 Fold Technologies,5 fold technologies,,,,5 fold technologies;;,C36130;C47622,C36130,False,[],5 fold technologies
210,5 Iron,C46104,5 Iron,5 iron,,,,5 iron;;,C46104,C46104,False,[],5 iron
211,5 Point Software Inc,C43526,5 Point Software Inc,5 point software,,,,5 point software;;,C43526,C43526,False,[],5 point software
212,5 Point Technology,C26800,5 Point Technology,5 point technology,,,,5 point technology;;,C26800,C26800,False,[],5 point technology
213,5 Rings Oasis LLC,C29752,5 Rings Oasis LLC,5 rings oasis,,,,5 rings oasis;;,C29752,C29752,False,[],5 rings oasis
214,5 Why Solutions LLC,C47623,5 Why Solutions LLC,5 why solutions,,,,5 why solutions;;,C47623,C47623,False,[],5 why solutions
215,5+design,C36956,5+design,5 design,,,,5 design;;,C36956,C36956,False,[],5 design
216,"5086 White Oak Hwy, Branch, LA 70516",D00008,"5086 White Oak Hwy, Branch, LA 70516",5086 white oak hwy branch la 70516,,,,5086 white oak hwy branch la 70516;;,D00008,D00008,False,[],5086 white oak hwy branch la 70516
217,509 Geek,C39515,509 Geek,509 geek,,,,509 geek;;,C39515,C39515,False,[],509 geek
218,525 Technologies,C42000,525 Technologies,525 technologies,,,,525 technologies;;,C42000,C42000,False,[],525 technologies
