record_id_1,record_id_2
C35909,C43821
C35562,C27373
C40665-003,C40665-006
C40665-002,C40665-005
C37760,C30215
C38159,C46558
C39915,C39148
C45579,C35920
C32706,C24203
C24745,D00717
C39927,C36374
C23958,C46859
C38744,C49113
C30672,C29094
C23476,C44772
C42634,C31873
C30069,C25174
C44364,C22124
C28897,C42629
D00742,C23752
C24782,C42264
C23518,C39955
C28822,C40763
C49191,C27294
C36174,C41484
C22960,C51233
C22144,C36243
C39964,C42298
D00757,C37214
C23865,C22963
C45790,C28592
C24155,C40740
C40870,C30088
C22161,C39389
C23377,C28464
C22964,C49261
C39997,C27913
C32240,C45593
C38174,C34748
C35968,C31244
C25626,C26201
C25045,C41862
C40009,C26815
C23955,C51635
C34092,C46151
C37776,D00820
C51719,C27647
C26202,C47580
C30064,C31884
C27991,C44123
C23768,C49367
C31440,C51984
C34025,C30045
C28575,C24435
C40025,C47061
C24061,C29889
C30403,C28536
C27155,C44790
C38607,C27812
C25178,C44922
C34127,C26961
C28644,C34127
C27150,C27234
C41781,C49457
C44258,C41781
C26340,C40051
C40056,C28688
C32079,C38183
C31436,C28875
C30210,C25412
C40062,C47182
C24427,C42058
C29266,C46399
C22991,C27064
C34375,C47438
C40065,C31561
C27915,C52093
C24442,C37788
C26433,D00887
C41344,D00905
C49542,C44456
C43243,C27280
C35653,C43657
C22995,C43941
C28900,C49408
C42647,C25990
C37364,C34033
C49571,C36283
C45805,C24212
C24298,C49574
C27813,C40083
C22288,C44040
D00920,C27001
C49579,C26678
C28623,C27922
C41869,C39168
C49602,C51768
C31968,C22214
C22297,C25839
C28162,C36953
C29027,D00937
C42565,C39171
C30063,C44647
C22313,C23002
C25238,C34446
D00955,C49661
C28930,C49669
C22332,C34304
C32035,C27634
C35808,C23081
C23494,C35808
C40105,C48430
C40106,C50760
C24840,C33671
C30766,C43285
C24415,C39817
C30438,C50982
C49672,C35417
C26273,D00593
C45124,C30332
C45208,C30069
C35862,C28470
C37009,C47024
C22334,C47073
C23003,C35361
C40958,C47041
C39296,C36880
C40107,C30509
C31890,C38178
C39002,C31745
C23407,D00865
C38843,C34935
C26702,C30106
C22335,C24633
C24163,C39172
C49675,C44722
C31370,C36410
C49680,C44982
C27019,C43930
C45777,D00958
C47075,C37079
C25890,C31636
D00968,C32547
C40116,C43711
C42291,C38564
C42340,C30606
C32273,C41679
C26846,C30436
C43248,C42348
C22365,C22364
C42385,C27040
C30811,C41797
C24277,C36266
C30367,C40108
C27124,C42124
C38566,C39488
C30714,C35095
C22374,D00999
C27137,C34755
C40138,C31805
C37606,C23198
C30921,C29761
C36533,C36201
C39401,C39399
C35806,C28067
C51370,C45631
C22387,C25523
C34055,C35418
C36699,C30267
D01027,D01012
C42635,C27710
C35352,D01028
C22393,C29501
C41192,C34136
C41802,C45028
C35725,C23014
C42382,C29730
C41246,C34228
C40163,C45015
C29109,C29836
C44138,C21944
C46746,C39384
C49856,C40109
C23916,C45896
C27953,C47201
C26135,C40170
C37705,C40174
C39300,C49879
C38399,C33047
C44641,C35576
C49892,C41238
C28869,C44778
C22418,D01079
C34560,C31792
C51616,C23782
C49905,C51616
C46582,C37107
C32070,C43742
C24982,D00050
C26401,C30070
C22433,C32590
C49938,C41907
C22811,C23026
C31748,C31316
C40195,C36127
C40196,D01109
C43612,C31536
C43937,C27326
C49972,C40605
C28049,C45645
C42712,C40199
D01114,C51956
C51066,C25222
C23164,C25524
C45959,C31550
C31478,C28520
C50035,C36746
C24861,C45380
C28942,C43300
D01154,C42913
C50058,C22487
C51279,C35327
C37611,C30451
C45214,C51608
C41267,C32601
C38402,C22336
C25287,C37545
C44387,C25287
C24168,C24189
C30307,C22338
C24610,C34578
C38293,C38407
C28604,C31724
C45655,C45620
C29202,C28447
C51228,C28498
C38678,C36841
C46167,C30871
C43256,C23931
C45025,C29307
C44161,C35631
C24653,C24741
C47186,C22519
C39395,C40453
C33083,C35812
C26939,C29061
C23712,C42947
C36832,C26445
C29225,C22534
C43485,C24823
C31799,C25665
C31757,C27339
C36519,C51223
C25805,C26023
C28092,C51099
C24315,C41048
C22535,C38225
C47278,C26950
C43588,C51306
C28764,C40243
C23979,C23547
D01223,C23472
C32971,C38866
D01226,C42570
C46945,C36925
C42637,C27345
C35362,C42943
C30870,C41269
C36626,C40249
C23628,C24312
C29226,C32250
C43812,C38308
C28008,C51785
C26973,C25948
C40930,C43697
C38334,C24037
C45668,C23711
C23428,C39422
C42649,C24631
C46224,C23599
C31810,C38229
C41323,C29626
C35675,C26883
C36923,C28488
C30664,C40110
C45056,C29906
C22544,C33716
C40260,C36636
C38233,C42757
C27369,C43591
C25112,C44570
C31087,C47490
C40268,C22250
C27352,C27780
C28021,C28133
C25394,C38886
C45271,C51634
C36280,C21550
C35958,C45390
D01270,C24495
C30869,C29260
C38584,C23523
C37627,C45930
C34478,C45034
C40437,C47780
C43498,C25730
C28279,C45985
C23753,C35483
C42749,C34833
C23912,C30641
C44223,C34874
C51497,C36273
C22576,C51897
C22577,D00145
C42595,C44646
C31618,C34335
C45329,D00163
C41312,C23513
C45673,C28367
C28443,C52052
C45451,C46267
C52066,C42468
C43259,C38657
C38299,C48063
D01271,C29013
C43100,C38723
C46898,C35655
C23844,C45088
C27862,C46398
C44397,C27151
C45224,C44634
C24457,C36196
C27344,C22886
C43358,C43209
C26459,C38076
C25191,C38636
C41499,C44231
C50308,C40096
C24815,C35971
C24559,C32798
C25810,C30350
C51435,C39097
C46049,C45771
C42459,C48227
C22582,C25729
C24575,C28149
C23689,C23643
C38236,D00314
C51594,C24618
C37745,C46668
C46899,C42156
C40273,C51364
C40274,C46685
C23391,C26360
C32520,D00400
C28467,C30754
C45674,C38362
C50312,C48461
C26153,C26769
C38819,C36872
C42734,C30549
C29415,C28451
C45943,C47028
C31276,C41414
C27134,C45772
C26460,C38372
C40431,C33592
C36193,C44733
C38767,C21973
C22583,C21984
C50316,C22583
C25193,C38405
C37095,C39826
C44452,C51255
C26473,C36119
C50317,C29075
C23662,C31769
C40276,C40589
C42875,C51618
C38768,C28428
C46900,C30278
C24553,C23109
C29928,C44537
C24171,C39867
C44398,C32121
C38237,C39874
C47238,C22066
C42693,C52057
C30449,C36745
C45849,C25749
C50319,C24755
C24507,C25502
C32346,C47086
C36421,D00667
C23049,C42982
D01272,C47114
C44601,C43236
C30053,C24292
C22585,C38392
C50321,C46857
