record_id_1,record_id_2,company_sim,company_clean_1,company_clean_2
D00092,C32655,0.876984127,applied technology and cable,applied technical solutions
C35621,D00417,0.876923077,eagle technology solutions,eagle tech
D00381,C36531,0.876923077,dfw secure it,dfnd security
D00381,C48391,0.876923077,dfw secure it,dfnd security
C48888,D00616,0.876862611,infinite consulting services,infinite cloud systems
C51412,D00616,0.876862611,infinite consulting services,infinite cloud systems
D01068,C43251,0.8767507,rosetech it solutions,rosenman it solutions
C46223,D01102,0.876703297,secure bearing,secure antics
D01032,C22395,0.876703297,raine ventures,rain networks
C21892,D00444,0.876666667,empire tech system,empire security
C22185,D00808,0.876666667,michigan state university,michigan retail services
C35206,D00267,0.876455026,cmit solutions of morristown,cmit solutions of las vegas
D00037,C31837,0.876395782,advanced cybersecurity solutions,advanced consulting enterprises
D00037,C41698,0.876395782,advanced cybersecurity solutions,advanced consulting enterprises
D01182,C31301,0.876375598,stevens it services,stevens and stevens co
C38336,D00573,0.876190476,hardware nation,hardware junky
C51823,D00735,0.876190476,landmark technologies,landmark
C50654,D00367,0.876175214,data projections,data professionals
D00706,C31114,0.876175214,k and h holdings,k and e consulting
D00706,C46558,0.876175214,k and h holdings,k and e consulting
D00905,C28352,0.876092191,norcal tech solutions,nor-cal controls es
D00040,C44025,0.876084656,advanced network consulting,advanced netcom
C24936,D00972,0.876078431,phoenix synergy,phoenix secure it
C34483,D00972,0.876078431,phoenix synergy,phoenix secure it
C35846,D00972,0.876078431,phoenix synergy,phoenix secure it
D00260,C43207,0.875854701,cloudxpertize,cloudwerx
C24102,D00226,0.875776398,certified nets,certified data solutios
D00187,C41779,0.875776398,business nexus,business network design
D00187,C48009,0.875776398,business nexus,business network design
C25248,D01356,0.875555556,veytec,veyer
C38839,D00118,0.875555556,avrem technologies,avona technologies
C25691,D00877,0.875,network coverage,network controls
C32907,D00876,0.875,network consulting services ncsi,network consultants group
C34530,D00877,0.875,network coverage,network controls
C34613,D00543,0.875,global it,global it communications
C50727,D01016,0.875,quantasi,quanta systems
D00096,C27544,0.875,architech global,archit
D00543,C47400,0.875,global it communications,global it
